Language Name,Occurrences,Most Frequent Language Combination,Most Frequent Topic,Primary Language Occurrences,Language Ranking Statistics,Bytes Written Statistics,Byte Distribution Statistics,Languages Used Statistics,Topics Used Statistics
Jupyter Notebook,6,,machine-learning,6,"{'sum': 6, 'avg': 1, 'std': 0.0, 'var': 0}","{'sum': 13247146, 'avg': 2207857.67, 'std': 1460465.09, 'var': 2132958291538.27}","{'sum': 6.0, 'avg': 1.0, 'std': 0.0, 'var': 0.0}","{'sum': 6, 'avg': 1, 'std': 0.0, 'var': 0}","{'sum': 48, 'avg': 8, 'std': 5.14, 'var': 26.4}"
Python,90,,machine-learning,90,"{'sum': 90, 'avg': 1, 'std': 0.0, 'var': 0}","{'sum': 18221742, 'avg': 202463.8, 'std': 319140.3, 'var': 101850532956.57}","{'sum': 90.0, 'avg': 1.0, 'std': 0.0, 'var': 0.0}","{'sum': 90, 'avg': 1, 'std': 0.0, 'var': 0}","{'sum': 575, 'avg': 6.39, 'std': 4.54, 'var': 20.58}"
Java,98,,android,98,"{'sum': 98, 'avg': 1, 'std': 0.0, 'var': 0}","{'sum': 41148426, 'avg': 419881.9, 'std': 639457.52, 'var': 408905916637.16}","{'sum': 98.0, 'avg': 1.0, 'std': 0.0, 'var': 0.0}","{'sum': 98, 'avg': 1, 'std': 0.0, 'var': 0}","{'sum': 690, 'avg': 7.04, 'std': 4.98, 'var': 24.82}"
JavaScript,161,,react,161,"{'sum': 161, 'avg': 1, 'std': 0.0, 'var': 0}","{'sum': 27113869, 'avg': 168409.12, 'std': 338290.7, 'var': 114440599811.63}","{'sum': 161.0, 'avg': 1.0, 'std': 0.0, 'var': 0.0}","{'sum': 161, 'avg': 1, 'std': 0.0, 'var': 0}","{'sum': 952, 'avg': 5.91, 'std': 3.22, 'var': 10.39}"
CSS,3,,accordion,3,"{'sum': 3, 'avg': 1, 'std': 0.0, 'var': 0}","{'sum': 184649, 'avg': 61549.67, 'std': 102536.79, 'var': 10513793432.33}","{'sum': 3.0, 'avg': 1.0, 'std': 0.0, 'var': 0.0}","{'sum': 3, 'avg': 1, 'std': 0.0, 'var': 0}","{'sum': 24, 'avg': 8, 'std': 2.65, 'var': 7}"
Shell,20,,bash,20,"{'sum': 20, 'avg': 1, 'std': 0.0, 'var': 0}","{'sum': 848479, 'avg': 42423.95, 'std': 53528.81, 'var': 2865332979.31}","{'sum': 20.0, 'avg': 1.0, 'std': 0.0, 'var': 0.0}","{'sum': 20, 'avg': 1, 'std': 0.0, 'var': 0}","{'sum': 142, 'avg': 7.1, 'std': 3.97, 'var': 15.78}"
HTML,10,,example,10,"{'sum': 10, 'avg': 1, 'std': 0.0, 'var': 0}","{'sum': 23841519, 'avg': 2384151.9, 'std': 6682437.72, 'var': 44654973929941.88}","{'sum': 10.0, 'avg': 1.0, 'std': 0.0, 'var': 0.0}","{'sum': 10, 'avg': 1, 'std': 0.0, 'var': 0}","{'sum': 47, 'avg': 4.7, 'std': 4.6, 'var': 21.12}"
TypeScript,4,,node,4,"{'sum': 4, 'avg': 1, 'std': 0.0, 'var': 0}","{'sum': 909397, 'avg': 227349.25, 'std': 213806.13, 'var': 45713062256.25}","{'sum': 4.0, 'avg': 1.0, 'std': 0.0, 'var': 0.0}","{'sum': 4, 'avg': 1, 'std': 0.0, 'var': 0}","{'sum': 19, 'avg': 4.75, 'std': 0.5, 'var': 0.25}"
C,0,,,0,"{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}"
Dockerfile,0,,,0,"{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 0, 'avg': 0, 'std': 0, 'var': 0}"
C++,1,,high-availability,1,"{'sum': 1, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 121253, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 1.0, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 1, 'avg': 0, 'std': 0, 'var': 0}","{'sum': 4, 'avg': 0, 'std': 0, 'var': 0}"
